Name,Quantity,Component
"U1",1," Arduino Uno R3"
"Rpot1",1,"250 kΩ Potentiometer"
"M1",1," DC Motor"
"D1",1," Diode"
"BAT1",1," 9V Battery"
"T1",1," pMOS Transistor (MOSFET)"
"T2",1," NPN Transistor (BJT)"
"R1",1,"1 kΩ Resistor"
